X,Y,Z,FALL,A,DX,DY,DZ,DA
10.18,2.37,2.95,0,10.860561679765922,0.03999999999999915,0.0,-0.029999999999999805,0.029269051459733575
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.18,2.37,2.95,0,10.860561679765922,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,-0.03999999999999915,0.040000000000000036,0.029999999999999805,-0.020446366726121212
