X,Y,Z,FALL_HW,FALL_ML
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.29,-0.19,2.07,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.41,-0.19,1.99,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.25,-0.23,2.03,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,0.04,1.87,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.1,-0.31,2.33,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.75,-0.15,1.95,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.56,-0.08,1.8,0,
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
